Ratio
0.957575758
0.973684211
1.167785235
0.946308725
0.893333333
0.957446809
0.856164384
0.886524823
0.806896552
0.939393939
0.908396947
0.728571429
0.825757576
0.704545455
0.828333333
0.655639098
0.831034483
0.808695652
0.655905512
0.535714286
0.573333333
0.504444444
0.601754386
0.596396396
0.515384615
0.338518519
0.313970588
0.218709677
