mean freq/kHz
0.040
5.825
11.650
17.425
23.225
29.125
34.800
40.450
46.100
51.725
57.075
62.550
67.775
73.150
78.025
83.050
87.825
92.325
96.775
101.325
105.575
109.775
113.650
117.075
120.400
123.925
127.025
130.200
