d3_l10,,d3_l15,,d3_l20,,,,,
Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),,,,
57.128906,71.713,57.128906,71.519,57.128906,71.813,,,,
57.495117,71.816,57.495117,71.621,57.495117,71.912,,,,
57.861328,71.921,57.861328,71.722,57.861328,72.012,,,,
58.227539,72.029,58.227539,71.823,58.227539,72.115,,,,
58.59375,72.138,58.59375,71.926,58.59375,72.22,,,,
58.959961,72.244,58.959961,72.028,58.959961,72.327,,,,
59.326172,72.348,59.326172,72.129,59.326172,72.431,,,,
59.692383,72.447,59.692383,72.225,59.692383,72.53,,,,
60.058594,72.543,60.058594,72.318,60.058594,72.623,,,,
60.424805,72.637,60.424805,72.409,60.424805,72.712,,,,
60.791016,72.729,60.791016,72.5,60.791016,72.801,,,,
61.157227,72.821,61.157227,72.593,61.157227,72.893,,,,
61.523438,72.911,61.523438,72.686,61.523438,72.989,,,,
61.889648,73.001,61.889648,72.778,61.889648,73.087,,,,
62.255859,73.092,62.255859,72.869,62.255859,73.183,,,,
62.62207,73.184,62.62207,72.958,62.62207,73.273,,,,
62.988281,73.275,62.988281,73.047,62.988281,73.359,,,,
63.354492,73.364,63.354492,73.136,63.354492,73.444,,,,
63.720703,73.452,63.720703,73.225,63.720703,73.53,,,,
64.086914,73.537,64.086914,73.314,64.086914,73.618,,,,
64.453125,73.622,64.453125,73.402,64.453125,73.708,,,,
64.819336,73.707,64.819336,73.49,64.819336,73.796,,,,
65.185547,73.793,65.185547,73.579,65.185547,73.88,,,,
65.551758,73.88,65.551758,73.667,65.551758,73.962,,,,
65.917969,73.966,65.917969,73.754,65.917969,74.043,,,,
66.28418,74.052,66.28418,73.838,66.28418,74.125,,,,
66.650391,74.135,66.650391,73.919,66.650391,74.208,,,,
67.016602,74.218,67.016602,73.999,67.016602,74.29,,,,
67.382812,74.301,67.382812,74.078,67.382812,74.371,,,,
67.749023,74.385,67.749023,74.158,67.749023,74.45,,,,
68.115234,74.469,68.115234,74.241,68.115234,74.529,,,,
68.481445,74.551,68.481445,74.325,68.481445,74.61,,,,
68.847656,74.631,68.847656,74.408,68.847656,74.693,,,,
69.213867,74.707,69.213867,74.489,69.213867,74.777,,,,
69.580078,74.782,69.580078,74.568,69.580078,74.861,,,,
69.946289,74.858,69.946289,74.644,69.946289,74.942,,,,
70.3125,74.935,70.3125,74.719,70.3125,75.02,,,,
70.678711,75.012,70.678711,74.794,70.678711,75.097,,,,
71.044922,75.089,71.044922,74.869,71.044922,75.173,,,,
71.411133,75.164,71.411133,74.946,71.411133,75.249,,,,
71.777344,75.236,71.777344,75.023,71.777344,75.325,,,,
72.143555,75.309,72.143555,75.1,72.143555,75.4,,,,
72.509766,75.382,72.509766,75.177,72.509766,75.473,,,,
72.875977,75.457,72.875977,75.253,72.875977,75.545,,,,
73.242188,75.533,73.242188,75.328,73.242188,75.618,,,,
73.608398,75.607,73.608398,75.401,73.608398,75.69,,,,
73.974609,75.68,73.974609,75.473,73.974609,75.762,,,,
74.34082,75.751,74.34082,75.543,74.34082,75.833,,,,
74.707031,75.82,74.707031,75.612,74.707031,75.902,,,,
75.073242,75.889,75.073242,75.681,75.073242,75.969,,,,
